trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
5001041,,,118,14,0
5001041,,,360,15,0
5001041,,,361,16,0
5001041,,,362,17,0
5001041,,,1159,18,0
5001041,,,52,19,0
5001041,,,53,20,0
5001041,,,55,21,0
5001041,,,56,22,0
5001041,,,1290,23,0
5001041,,,57,24,0
5001041,,,1216,25,0
5001041,12:47:00,12:47:00,1,26,1
5001043,12:37:00,12:37:00,1493,0,1
5001043,,,1349,1,0
5001043,,,1548,2,0
5001043,,,1491,3,0
5001043,,,1306,4,0
5001043,,,1592,5,0
5001043,,,34,6,0
5001043,,,35,7,0
5001043,,,36,8,0
5001043,,,37,9,0
5001043,,,38,10,0
5001043,,,39,11,0
5001043,,,40,12,0
5001043,,,1199,13,0
5001043,,,118,14,0
5001043,,,360,15,0
5001043,,,361,16,0
5001043,,,362,17,0
5001043,,,1159,18,0
5001043,,,52,19,0
5001043,,,53,20,0
5001043,,,55,21,0
5001043,,,56,22,0
5001043,,,1290,23,0
5001043,,,57,24,0
5001043,,,1216,25,0
5001043,13:04:00,13:04:00,1,26,1
5001045,12:54:00,12:54:00,1493,0,1
5001045,,,1349,1,0
5001045,,,1548,2,0
5001045,,,1491,3,0
5001045,,,1306,4,0
5001045,,,1592,5,0
5001045,,,34,6,0
5001045,,,35,7,0
5001045,,,36,8,0
5001045,,,37,9,0
5001045,,,38,10,0
5001045,,,39,11,0
5001045,,,40,12,0
5001045,,,1199,13,0
5001045,,,118,14,0
5001045,,,360,15,0
5001045,,,361,16,0
5001045,,,362,17,0
5001045,,,1159,18,0
5001045,,,52,19,0
5001045,,,53,20,0
5001045,,,55,21,0
5001045,,,56,22,0
5001045,,,1290,23,0
5001045,,,57,24,0
5001045,,,1216,25,0
5001045,13:21:00,13:21:00,1,26,1
5001047,13:11:00,13:11:00,1493,0,1
5001047,,,1349,1,0
5001047,,,1548,2,0
5001047,,,1491,3,0
5001047,,,1306,4,0
5001047,,,1592,5,0
5001047,,,34,6,0
5001047,,,35,7,0
5001047,,,36,8,0
5001047,,,37,9,0
5001047,,,38,10,0
5001047,,,39,11,0
5001047,,,40,12,0
5001047,,,1199,13,0
5001047,,,118,14,0
5001047,,,360,15,0
5001047,,,361,16,0
5001047,,,362,17,0
5001047,,,1159,18,0
5001047,,,52,19,0
5001047,,,53,20,0
5001047,,,55,21,0
5001047,,,56,22,0
5001047,,,1290,23,0
5001047,,,57,24,0
5001047,,,1216,25,0
5001047,13:38:00,13:38:00,1,26,1
5001049,13:28:00,13:28:00,1493,0,1
5001049,,,1349,1,0
5001049,,,1548,2,0
5001049,,,1491,3,0
5001049,,,1306,4,0
5001049,,,1592,5,0
5001049,,,34,6,0
5001049,,,35,7,0
5001049,,,36,8,0
5001049,,,37,9,0
5001049,,,38,10,0
5001049,,,39,11,0
5001049,,,40,12,0
5001049,,,1199,13,0
5001049,,,118,14,0
5001049,,,360,15,0
5001049,,,361,16,0
5001049,,,362,17,0
5001049,,,1159,18,0
5001049,,,52,19,0
5001049,,,53,20,0
