"stop_name","stop_desc"
"Hearing Aid Gainesville","Eastbound NW 23rd TER @ Nearside NW 10th ST"
"Forest Meadows Funeral Home","Eastbound NW 23rd TER @ Nearside NW 6th ST"
"NW 6th St NW 23rd Ave","Southbound NW 6th ST @ Farside NW 21st AVE"
"NW 6th ST at NW 19th LN (Hand N' Hand Childcare)","Southbound NW 6th ST @ Nearside NW 19th LN"
"Acupuncture Center","Southbound NW 6th ST @ Farside NW 19th AVE"
"Atlantic Design","Southbound NW 6th ST @ Farside NW 16th AVE"
"Granny D's","Southbound NW 6th ST @ Nearside NW 13th AVE"
"American Auto Insurance","Southbound NW 6th ST @ Nearside NW 10th AVE"
"Jon Uman Attorney","Southbound NW 6th ST @ Nearside NW 8th PL"
"Greater Bethel African Methodist Episcopal Church","Southbound NW 6th ST @ Farside NW 6th AVE"
"PPG Paints Store","Southbound NW 6th ST @ Nearside University Avenue"
"Alachua County Courthouse","Southbound S Main ST @ Farside SE 2nd PL"
"Tools for Schools","Eastbound SE 11th ST @ Farside SE 7th AVE"
"Williams Elementary School","Eastbound SE 7th AVE @ Farside SE 12th TER"
"Eastbound SE 7th Avenue @ SE 15th Street","Eastbound SE 7th AVE @ Nearside SE 15th ST"
"Northbound SE 15th Street @ SE 3rd Avenue","Northbound SE 15th ST @ Nearside SE 3rd Ave"
"Eastbound University Avenue @ SE 15th Street","Eastbound E University AVE @ Farside SE 15th ST"
"Health Department","Southbound Alachua County Health Department @ Far*"
"Southeast Gator Liquor @ Hawthorne Road","Eastbound Hawthorne RD @ Farside SE 24th ST"
"Eastbound Hawthorne Road @ SE 26th Street","Eastbound Hawthorne RD @ Nearside SE 26th ST"
"Alachua County Sheriff's Office","Eastbound Hawthorne RD @ Nearside SE 27th ST"
"Southbound SE 27th Street @ SE 15th Avenue","Southbound SE 27th ST @ Farside SE 15th AVE"
"Durelle Heights Neighborhood","Southbound SE 27th ST @ Farside SE 18th AVE"
"Lana's Place","Eastbound SE 21st AVE @ Nearside SE 28 DR"
"Faith Missionary Church","Eastbound SE 21st AVE @ Nearside SE 30th Dr"
"Eastbound SE 21st Avenue @ SE 32nd Terrace","Eastbound SE 21st AVE @ Nearside SE 32 TER"
"SE 35th St @ SE 21st Avenue","Eastbound SE 21st AVE @ Farside SE 35th ST"
"Northbound SE 35th Street @ SE 20th Avenue","Northbound SE 35th ST @ Nearside SE 18th AVE"
"Northbound SE 35th Street @ SE 16th Avenue","Northbound SE 35th ST @ Farside SE 16th AVE"
"Kangaroo @ SE 35th Street","Northbound SE 35th ST @ Nearside Hawthorne RD"
"E Hawthorne Road @ SE 39th Terrace","Eastbound Hawthorne RD @ Farside SE 39th TER"
"Chevron Food Mart @ SE 43rd Street","Northbound SE 43rd ST @ Farside Hawthorne RD"
"Eastside High School","Northbound SE 43rd ST @ Farside SE 13th AVE"
"The Glades","Northbound SE 43rd ST @ Nearside SE 10th PL"
"Eastwood Meadows","Northbound SE 44th ST @ Farside SE 10th PL"
"The Verdant Cove","Southbound SE 43rd ST @ Nearside SE 10th PL"
"Chevron Food Mart @ SE 43rd Street","Southbound SE 43rd ST @ Nearside Hawthorne RD"
"Westbound Hawthorne Road @ SE 39th Street","Westbound Hawthorne RD @ Nearside SE 39th TER"
"Eastside Food Store","Southbound SE 35th ST @ Farside Hawthorne RD"
"Southbound SE 35th Street @ SE 16th Avenue","Southbound SE 35th ST @ Nearside SE 16th AVE"
"Southbound Se 35th Street @ SE 18th Avenue","Southbound SE 35th ST @ Farside SE 18th AVE"
"Southbound SE 35th Street @ SE 20th Avenue","Southbound SE 35th ST @ Nearside SE 20th AVE"
"Westbound SE 21st Avenue @ SE 32nd Terrace","Westbound SE 21st AVE @ Farside SE 32nd ST"
"Faith Missionary Church","Westbound SE 21st AVE @ Farside SE 30th Dr"
"Lana's Place","Westbound SE 21st AVE @ Nearside SE 27th ST"
"Durelle Heights Neighborhood","Northbound SE 27th ST @ Nearside SE 18th AVE"
"Northbound SE 27th Street @ SE 15th Avenue","Northbound SE 27th ST @ Nearside SE 15th AVE"
"Alachua County Sheriffs Department","Northbound SE 27th ST @ Nearside Hawthorne Rd"
"Alachua County Sheriffs Department","Westbound Hawthorne RD @ Farside SE 25th TER"
"Dollar General","Westbound Hawthorne RD @ Nearside SE 24th ST"
"Westbound E University Avenue @ NE 16th Street","Westbound E University AVE @ Nearside NE 16th ST"
"Southbound SE 15th Street @ SE 4th Avenue","Southbound SE 15th ST @ Nearside SE 4th AVE"
"Southbound SE 15th Street @ SE 7th Avenue","Southbound SE 15th ST @ Nearside SE 7th AVE"
"Williams Elementary School","Westbound SE 7th AVE @ Nearside SE 12th TER"
"Waldo Rd @ SE 7th Avenue","Westbound SE 7th AVE @ Farside SE 11th ST"
"North Walmart Supercenter","Southbound NW 23rd ST @ Farside NW 62nd ST"
"Northside Park and Senior Recreational Center","Southbound NW 34th ST @ Farside NW 58th AVE"
"Barnhill Clinic","Southbound NW 34th ST @ Nearside NW 29th ST"
"Pizza Hut @ NW 34th Street","Southbound NW 34th ST @ Nearside NW 49th AVE"
"Capri Neighborhood","Southbound NW 34th ST @ Farside NW 44th PL"
"Southbound NW 34th Street @ NW 41st Avenue","Southbound NW 34th ST @ Farside NW 41st AVE"
"NW 39th Avenue @ NW 34th Street","Eastbound NW 39th AVE @ Farside NW 34th ST"
"First Assembly Church","Eastbound NW 39th AVE @ Nearside NW 29th TER"
"Walnut Creek Neighborhood","Eastbound NW 39th AVE @ Nearside NW 25th TER"
"Uptown Village Apartments","Eastbound NW 39th AVE @ Farside NW 24th BLVD"
"Palmetto Woods Neighborhood","Eastbound NW 39th AVE @ Farside NW 22nd DR"
"Girls Place of Alachua County","Eastbound NW 39th AVE @ Nearside NW 21st ST"
"Eastbound NW 39th Ave at NW 19th St Green Tree Pk","Eastbound NW 39th AVE @ Nearside NW 19th ST"
"Ridgeview Baptist Church","Southbound NW 19th ST @ Nearside NW 36th AVE"
"Altrusa House of Gainesville","Westbound NW 36th AVE @ Farside NW 20th ST"
"Southbound NW 21st Street @ NW 36th Avenue","Southbound NW 21st ST @ Farside NW 36th AVE"
"Glen Springs Apartments","Southbound NW 21st ST @ Farside NW 32nd PL"
"Misty Oaks Apartments","Southbound NW 21st ST @ Nearside NW 31st AVE"
"Cobblestone Apartments","Eastbound NW 23rd ST @ Farside NW 28th CIR"
"Brookwood Terrace","Eastbound NW 23rd BLVD @ Farside NW 16th TER"
"Plaza Verde - NW 23rd Avenue","Eastbound NW 23rd AVE @ Farside NW 16th TER"
"Plaza Verde @ NW 13th St Southbound","Southbound NW 13th ST @ Farside NW 23rd AVE"
