"Gethsemane Lutheran Church","Gethsemane Lutheran Church"
"Capri Neighborhood","Capri Neighborhood"
"Family Dollar @ NW 34th Street","Family Dollar @ NW 34th Street"
"YMCA @ NW 34th Street","YMCA @ NW 34th Street"
"Barnhill Clinic","Barnhill Clinic"
"Pine Ridge Apartments","Pine Ridge Apartments"
"Pine Ridge Apartments","Pine Ridge Apartments"
"Northbound NW 23rd Terrace @ NW 62nd Avenue","Northbound NW 23rd Terrace @ NW 62nd Avenue"
"Hampton Court Apartments","Hampton Court Apartments"
"Northbound NW 23rd Terrace @ US Hwy 441","Northbound NW 23rd Terrace @ US Hwy 441"
"Hunters Run","Hunters Run"
"Westbound SW 40th Place @ NW 26th Terrace","Westbound SW 40th Place @ NW 26th Terrace"
"Campus Lodge Apartments","Campus Lodge Apartments"
"Lexington Crossing Apartments","Lexington Crossing Apartments"
"Lexington Crossing Apartments","Lexington Crossing Apartments"
"Windsor Park Apartments","Windsor Park Apartments"
"Northbound SW 27th Street @ SW 35th Place","Northbound SW 27th Street @ SW 35th Place"
"Casablanca East Apartments","Casablanca East Apartments"
"Arbor Park Apartments","Arbor Park Apartments"
"Hickory Place Apartments","Hickory Place Apartments"
"SW 23rd Terrace @ SW 35th Place","SW 23rd Terrace @ SW 35th Place"
"Towne Parc Apartments","Towne Parc Apartments"
"University Club Apartments","University Club Apartments"
"University of Florida Energy Research","University of Florida Energy Research"
"University Commons","University Commons"
"Mt Vernon Apartments @ SW 23rd Drive","Mt Vernon Apartments @ SW 23rd Drive"
"Campus Edge Condominiums","Campus Edge Condominiums"
"Forestry Field Lab/Plant Growth","Forestry Field Lab/Plant Growth"
"Cancer/Genetics Research Complex","Cancer/Genetics Research Complex"
"Cancer and Genetics Research","Cancer and Genetics Research"
"Parking & Transportation Services","Parking & Transportation Services"
"Commuter Lot Parking Garage @ Gale Lemerand","Commuter Lot Parking Garage @ Gale Lemerand"
"Graham Hall","Graham Hall"
"Gator Corner Dining Facility @ Gale Lemerand","Gator Corner Dining Facility @ Gale Lemerand"
"Weimer Hall","Weimer Hall"
"The HUB","The HUB"
"Turlington Hall","Turlington Hall"
"Rawlings Hall","Rawlings Hall"
"Reitz Union","Reitz Union"
"UF Health","UF Health"
"Shands Visitor Parking","Shands Visitor Parking"
"Wilmot Gardens","Wilmot Gardens"
"Cancer & Genetics Research Center","Cancer & Genetics Research Center"
"Lake Alice Conservation Area","Lake Alice Conservation Area"
"IFAS Lab","IFAS Lab"
"Campus Edge Condominiums","Campus Edge Condominiums"
"Mt Vernon Apartments","Mt Vernon Apartments"
"University Commons","University Commons"
"University of Florida Energy Research","University of Florida Energy Research"
"University Club Apartments","University Club Apartments"
"Towne Parc Apartments","Towne Parc Apartments"
"Southwood Apartments","Southwood Apartments"
"Gator Place Condominiums","Gator Place Condominiums"
"Countryside at the University Apartments","Countryside at the University Apartments"
"Southbound SW 23rd Street @ Williston Road","Southbound SW 23rd Street @ Williston Road"
"The Polos Apartments","The Polos Apartments"
"NW 16th Ave NW 13th St","NW 16th Ave NW 13th St"
"Gainesville High School Tennis Courts","Gainesville High School Tennis Courts"
"Westbound NW 16th Avenue @ NW 18th Street","Westbound NW 16th Avenue @ NW 18th Street"
"Westbound NW 16th Avenue @ NW 20th Way","Westbound NW 16th Avenue @ NW 20th Way"
"Forest Ridge Neighborhood","Forest Ridge Neighborhood"
"NW 24th St @ NW 16th Avenue","NW 24th St @ NW 16th Avenue"
"NW 27th Terrace @ NW 16th Avenue","NW 27th Terrace @ NW 16th Avenue"
"NW 30th Terrace @ NW 16th Avenue","NW 30th Terrace @ NW 16th Avenue"
"Zion Evangelical Lutheran Church","Zion Evangelical Lutheran Church"
"Willowcroft Neighborhood","Willowcroft Neighborhood"
"NW 16th Boulevard @ NW 37th Boulevard","NW 16th Boulevard @ NW 37th Boulevard"
"B'Nai Israel School & Day Care","B'Nai Israel School & Day Care"
"Westbound NW 16th Boulevard @ NW 39th Street","Westbound NW 16th Boulevard @ NW 39th Street"
"Capital City Bank @ NW 16th Boulevard","Capital City Bank @ NW 16th Boulevard"
"NW 23rd Ave NW 43rd St","NW 23rd Ave NW 43rd St"
"Floral Expressions","Floral Expressions"
"Westbound NW 23rd Avenue @ NW 46th Terrace","Westbound NW 23rd Avenue @ NW 46th Terrace"
"First Church of the Nazarene","First Church of the Nazarene"
"Northwest Baptist Church","Northwest Baptist Church"
"Westbound NW 23rd Avenue @ NW 63rd Terrace","Westbound NW 23rd Avenue @ NW 63rd Terrace"
"Hickory Woods Neighborhood","Hickory Woods Neighborhood"
"Quail Ridge Neighborhood","Quail Ridge Neighborhood"
"Shenandoah Neighborhood","Shenandoah Neighborhood"
"Santa Fe College @ NW 83rd Street","Santa Fe College @ NW 83rd Street"
"Santa Fe","Santa Fe"
"Santa Fe College","Santa Fe College"
"The Pentecostals of Gainesville","The Pentecostals of Gainesville"
"Shenandoah Neighborhood","Shenandoah Neighborhood"
"Quail Ridge Neighborhood","Quail Ridge Neighborhood"
"Hickory Woods Neighborhood","Hickory Woods Neighborhood"
"Eastbound NW 23rd Avenue @ NW 63rd Terrace","Eastbound NW 23rd Avenue @ NW 63rd Terrace"
"Northwest Baptist Church","Northwest Baptist Church"
"First Church of the Nazarene","First Church of the Nazarene"
"Eastbound NW 23rd Avenue @ NW 46th Street","Eastbound NW 23rd Avenue @ NW 46th Street"
"Floral Expressions","Floral Expressions"
"NW 23rd Ave NW 43rd St","NW 23rd Ave NW 43rd St"
"Eastbound NW 16th Boulevard @ NW 39th Drive","Eastbound NW 16th Boulevard @ NW 39th Drive"
"B'Nai Israel School & Day Care","B'Nai Israel School & Day Care"
"Willowcroft Neighborhood","Willowcroft Neighborhood"
"Covenant Church","Covenant Church"
"Brywood Neighborhood","Brywood Neighborhood"
"Raintree Neighborhood","Raintree Neighborhood"
"Forest Ridge Neighborhood","Forest Ridge Neighborhood"
"Eastbound NW 16th Avenue @ NW 20th Way","Eastbound NW 16th Avenue @ NW 20th Way"
"Colony Park Apartments","Colony Park Apartments"
"NW 16th Ave NW 13th St","NW 16th Ave NW 13th St"
"Eastwood Meadows","Eastwood Meadows"
"Lake Forest Trails Neighborhood","Lake Forest Trails Neighborhood"
"Lake Forest Elementary School","Lake Forest Elementary School"
"Sunrise Store @ SE 43rd Street","Sunrise Store @ SE 43rd Street"
"Exxon Gas Station @ E University Avenue","Exxon Gas Station @ E University Avenue"
"Eastside Plaza","Eastside Plaza"
"Morningside Nature Center","Morningside Nature Center"
"Fred Cone Park","Fred Cone Park"
