stop_id,stop_name,stop_desc,route_id
427,Altrusa House of Gainesville,Westbound NW 36th AVE @ Farside NW 20th ST,8
443,Southbound SW 13th Street @ Museum Road,Southbound SW 13th ST @ Nearside Museum RD,8
412,Northwood Pines Neighborhood,Southbound NW 34th ST @ Nearside NW 23rd TER,8
429,Glen Springs Apartments,Southbound NW 21st ST @ Farside NW 32nd PL,8
1343,Northside Park and Senior Recreational Center,Southbound NW 34th ST @ Farside NW 58th AVE,8
433,Brookwood Terrace,Eastbound NW 23rd BLVD @ Farside NW 16th TER,8
446,UF Health Archer Road,Westbound Archer RD @ Farside SW 16th ST,8
1550,Hotel Eleo @ SW 16th Ave Westbound,Westbound SW 16th AVE @ Farside SW 14th ST,8
441,Tigert Hall,Southbound SW 13th ST @ Farside SW 2nd AVE,8
419,NW 39th Avenue @ NW 34th Street,Eastbound NW 39th AVE @ Farside NW 34th ST,8
245,Plaza Verde @ NW 13th St Southbound,Southbound NW 13th ST @ Farside NW 23rd AVE,8
416,Pizza Hut @ NW 34th Street,Southbound NW 34th ST @ Nearside NW 49th AVE,8
252,Plaza Verde - NW 23rd Avenue,Eastbound NW 23rd AVE @ Farside NW 16th TER,8
403,Kangaroo Gas @ NW 34th Street,Southbound NW 34th ST @ Nearside NW 23rd TER,8
442,Southbound SW 13th Street @ Inner Road,Southbound SW 13th ST @ Nearside Inner RD,8
421,Walnut Creek Neighborhood,Eastbound NW 39th AVE @ Nearside NW 25th TER,8
440,The Standard,Southbound NW 13th ST @ Nearside NW 1st AVE,8
436,Applebee's @ NW 13th Street,Southbound NW 13th ST @ Nearside NW 10th AVE,8
248,Gainesville High School,Southbound NW 13th ST @ Farside NW 18th AVE,8
418,Southbound NW 34th Street @ NW 41st Avenue,Southbound NW 34th ST @ Farside NW 41st AVE,8
426,Ridgeview Baptist Church,Southbound NW 19th ST @ Nearside NW 36th AVE,8
444,University Housing Office,Southbound SW 13th ST @ Nearside Diamond RD,8
409,North Walmart Supercenter,Southbound NW 23rd ST @ Farside NW 62nd ST,8
413,Northwood Oaks Neighborhood,Southbound NW 34th ST @ Nearside NW 54th AVE,8
438,The Gate Food Store @ NW 13th Street,Southbound NW 13th ST @ Nearside NW 5th AVE,8
430,Misty Oaks Apartments,Southbound NW 21st ST @ Nearside NW 31st AVE,8
371,Gainesville High School,Northbound NW 13th ST @ Nearside NW 19th LN,8
404,Pine Ridge Apartments,Northbound NW 23rd TER @ Nearside NW 57th PL,8
1199,VA Hospital @ Archer Rd,Eastbound Archer RD @ Farside Center DR,8
386,Forest of the Unicorn Neighborhood,Westbound NW 39th AVE @ Nearside NW 24th BLVD,8
361,Norman Hall,Northbound SW 13th ST @ Nearside SW 5th AVE,8
370,Gainesville High School,Northbound NW 13th ST @ Farside NW 18th AVE,8
388,Assembly of Gods Church,Westbound NW 39th AVE @ Farside NW 29th TER,8
390,NW 39th Avenue @ NW 34th Street,Westbound NW 39th AVE @ Nearside NW 34th ST,8
391,Gethsemane Lutheran Church,Northbound NW 34th ST @ Nearside NW 41st AVE,8
382,Ridgeview Baptist Church,Eastbound NW 36th AVE @ Nearside NW 19th ST,8
408,Northbound NW 23rd Terrace @ US Hwy 441,Northbound NW 23rd TER @ Nearside NW 13th ST,8
360,Norman Field,Northbound SW 13th ST @ Farside SW 8th AVE,8
389,Westbound NW 39th Avenue @ NW 31st Street,Westbound NW 39th AVE @ Nearside NW 31st TER,8
384,Girls Place of Alachua County,Westbound NW 39th AVE @ Nearside NW 21st ST,8
1169,Northwood Pines Neighborhood,Northbound NW 34th ST @ Nearside NW 25th TER,8
406,Northbound NW 23rd Terrace @ NW 62nd Avenue,Northbound NW 23rd TER @ Nearside NW 62nd AVE,8
367,Xerographic Copy Center,Northbound NW 13th ST @ Nearside NW 10th AVE,8
394,Family Dollar @ NW 34th Street,Northbound NW 34th ST @ Farside NW 51st PL,8
375,Brook Wood Terrace Neighborhood,Westbound NW 23rd AVE @ Farside NW 16th TER,8
368,LifeSouth Community Blood Center @ NW 13th Street,Northbound NW 13th ST @ Nearside NW 14th AVE,8
372,Lux 13 Apartments,Northbound NW 13th ST @ Farside NW 21st AVE,8
