"stop_id","stop_name","stop_desc"
"837","Southwest Villas Apartments","Eastbound SW 20th AVE @ Nearside SW 37th WAY"
"838","34th St Plaza","Eastbound SW 20th AVE @ Nearside SW 34th ST"
"839","Florida Department Of Agriculture","Northbound SW 34th ST @ Farside SW 20th AVE"
"840","Hilton University of Florida Conference Center","Northbound SW 34th ST @ Nearside Hull RD"
"841","Harn Museum","Eastbound Hull RD @ Farside Bledsoe DR"
"842","Southwest Recreation Center","Northbound Bledsoe DR @ Farside Hull RD"
"844","Maguire Field","Northbound Bledsoe DR @ Nearside Radio RD"
"1326","UF Counseling and Wellness Center","Eastbound Radio RD @ Farside Bledsoe DR"
"845","Lakeside","Eastbound Radio RD @ Nearside Museum RD"
"846","Lakeside Residential Complex","Eastbound Radio RD @ Nearside Museum RD"
"847","Corry Village","Northbound Museum RD @ Nearside Village DR"
"848","Lake Alice Field","Eastbound Museum RD @ Farside Fraternity DR"
"849","Hume Hall","Eastbound Museum RD @ Nearside Gale Lemerand DR"
"797","Hume Hall","Westbound Museum RD @ Farside Gale Lemerand DR"
"798","Sigma Alpha Epsilon","Westbound Museum RD @ Nearside Woodlawn DR"
"800","Corry Village","Southbound Museum RD @ Farside Village DR"
"801","UF Bat Houses","Southbound Museum RD @ Nearside Radio RD"
"802","Lakeside Apartments","Westbound Radio RD @ Farside Museum RD"
"803","UF Counseling and Wellness Center","Westbound Radio RD @ Nearside Bledsoe DR"
"804","Family Housing","Southbound Bledsoe DR @ Farside Radio RD"
"806","Southwest Recreation Center","Southbound Bledsoe DR @ Nearside Hull RD"
"807","University Village South Apartments","Westbound Hull RD @ Nearside SW 34th ST"
"808","Hilton University of Florida Conference Center","Southbound SW 34th ST @ Nearside SW 19th AVE"
"810","Campus USA","Westbound SW 20th AVE @ Farside SW 34th ST"
"811","Pinnacle Point Apartments","Westbound SW 20th AVE @ Farside SW 38th ST"
"813","Kensington Apartments North","Westbound SW 20th AVE @ Farside SW 38th TER"
"814","Pinetree Gardens","Westbound SW 20th AVE @ Farside SW 40th TER"
"815","Circle K SW 20th Ave Westbound","Westbound SW 20th AVE @ Farside SW 42nd DR"
"816","Canopy Apartments","Westbound SW 20th AVE @ Farside SW 43rd ST"
"818","The Woodlands Apartments","Northbound SW 62nd BLVD @ Farside SW 20th AVE"
"819","Rockwood Villas Apartments","Northbound SW 62nd BLVD @ Farside SW 9th PL"
"820","Spyglass Apartments","Northbound SW 62nd BLVD @ Nearside SW 4th PL"
"822","Palm Garden of Gainesville","Northbound SW 62nd BLVD @ Nearside SW 4th PL"
"823","Hampton Oaks Apartments","Northbound SW 62nd BLVD @ Nearside NW 1st PL"
"174","Terwilliger Elementary School","Northbound NW 62nd ST @ Nearside NW 4th PL"
"859","Cabana Beach Apartments","Westbound SW 52nd BLVD @ Nearside SW 20th AVE"
"1236","Cabana Beach","Northbound SW 52nd BLVD @ Farside SW 20th AVE"
"1271","Marchwood Townhomes","Southbound SW 43rd ST @ Farside SW 20th LN"
"1272","Eastbound SW 24th Avenue @ SW 43rd Street","Southbound SW 43rd St @ Nearside SW 24th AVE"
"1557","The Ridge @ SW 38th TER northbound","Northbound SW 38th TER @ Farside SW 24th AVE"
"1273","SW 38th Terr nearside SW 20th Ave","Northbound SW 38th Terrace @ SW 20th Avenue"
"1459","Kensington Apartments Eastside","Southbound SW 38th TER @ Farside SW 20th AVE"
"1556","The Ridge @ SW 38th TER southbound","Southbound SW 38th TER @ Nearside SW 24th AVE"
"1351","Hailey Gardens","Northbound SW 43rd ST @ Nearside SW 22nd LN"
"1352","Forest Park","Northbound SW 43rd ST @ Nearside SW 21st PL"
"817","Cabana Beach Apartments","Eastbound SW 52 BLVD @ Nearside SW 20th AVE"
"1098","North Florida Regional Medical Center","Westbound Newberry RD @ Nearside NW 66th ST"
"1099","SUBWAY@ Newberry RD","Westbound Newberry RD @ Nearside Oaks Mall"
"1100","West Newberry Rd Nearside NW 69th Ter","Westbound Newberry RD @ Nearside NW 69th TER"
"1372","Newberry Rd @ NW 75th","Westbound Newberry RD @ Nearside Tower RD"
"1274","Krystal @ Newberry Road","Westbound Newberry RD @ Farside NW 76th ST"
"1275","Westbound Newberry Road @ Fort Clarke Boulevard","Westbound Newberry RD @ Nearside Fort Clarke BLVD"
"1276","Paddock Club Apartments","Northbound Fort Clarke BLVD @ Farside NW 8th AVE"
"1277","Legacy @ Fort Clarke Apartments","Northbound Fort Clarke BLVD @ Farside NW 15th PL"
"1278","Northbound Fort Clarke Boulevard @ Eagle Point","Northbound Fort Clarke BLVD @ Nearside NW 17th PL"
"1279","Hidden Oak Elementary School","Northbound Fort Clarke BLVD @ Farside NW 89th DR"
"1283","Ft Clarke Middle School","Northbound Fort Clarke BLVD @ Nearside NW 23rd AVE"
"1284","Ft Clarke Middle School","Southbound Fort Clarke BLVD @ Farside NW 23rd AVE"
"1280","Hidden Oak Elementary School","Southbound Fort Clarke BLVD @ Nearside NW 23rd AVE"
"1285","Southbound Fort Clarke Boulevard @ Eagle Point","Southbound Fort Clarke BLVD @ Nearside NW 17th PL"
"1286","Legacy @ Fort Clarke Apartments","Southbound Fort Clarke BLVD @ Nearside NW 15th PL"
"1287","Paddock Club Apartments","Southbound Fort Clarke BLVD @ Nearside NW 8th AVE"
"1288","Eastbound Newberry Road @ Fort Clarke Boulevard","Eastbound Newberry RD @ Farside Fort Clarke BLVD"
"1289","Pepboys Auto @ Newberry RD","Eastbound Newberry RD @ Nearside NW 76th BLVD"
"1552","Kangaroo Express @ Newberry/Tower Road","Eastbound Newberry RD @ Nearside NW 75th ST"
"1096","Oaks Square Complex","Eastbound Newberry RD @ Farside NW 69th TER"
"1097","Oaks Mall","Eastbound Newberry RD @ Nearside Oaks Mall"
"850","GRU Administration Building","Eastbound SE 4th AVE @ Farside SE 4th ST"
"851","Eastbound SE 4th Avenue @ SE 8th Street","Eastbound SE 4th AVE @ Nearside SE 8th ST"
"852","Triangle Club","Eastbound SE 4th AVE @ Nearside 11th ST"
"853","Northbound SE 11th Street @ SE 2nd Avenue","Northbound SE 11th ST @ Nearside SE 2nd AVE"
"855","Walgreens @ NE 3rd Avenue","Northbound Waldo RD @ Nearside NE 3rd AVE"
"856","UF Health Family Medicine Eastside Northbound","Northbound Waldo RD @ Farside NE 5th AVE"
"857","Episcopal Children's Services Northbound","Northbound Waldo RD @ Nearside NE 8th AVE"
"863","Northbound NE 9th Street @ NE 10th Place","Northbound NE 9th ST @ Nearside NE 10th PL"
"864","Northbound NE 9th Street @ NE 14th Avenue","Northbound NE 9th ST @ Farside NE 14th AVE"
"870","Tacachale Center","Northbound Waldo RD @ Farside NE 16th AVE"
"871","Family Worship Center","Northbound Waldo RD @ Farside NE 21st PL"
"872","University of Florida Eastside Campus @ Waldo Road","Northbound Waldo RD @ Nearside NE 23rd AVE"
"873","BP Gas Station @ NE 23rd Avenue","Westbound NE 23rd AVE @ Farside Waldo RD"
"875","Bertie Heating & Air","Westbound NE 23rd AVE @ Nearside NE 17th TER"
"877","Quick Mart @ NE 15th Street","Northbound NE 15th ST @ Nearside NE 39th AVE"
"1441","Lewis Place @ Ironwood Apartments","Northbound NE 15th ST @ Farside NE 13th AVE"
"1442","North Point @ Ironwood","Northbound NE 15th ST @ Nearside NE 47th PL"
"887","BP Gas Station @ Waldo Road","Southbound Waldo RD @ Nearside NE 53rd AVE"
"881","NE 49th AVE - Brittany Estates Neighborhood","Eastbound NE 49th AVE @ Farside Waldo RD"
"882","NE49th AVE - PFG Foods","Eastbound NE 49th AVE @ Nearside NE 40th TER"
"885","Nordstrom Distribution Center","Northbound NE 49th TER @ Nearside NE 54th PL"
"886","Job Corps","Westbound NE 54th PL @ Nearside NE 54th AVE"
